型番,メーカー名,数量,商品名,商品詳細URL
BAS19,Diotec Semiconductor,15,DIODE STANDARD 100V 200MA SOT233,https://www.marutsu.co.jp/pc/i/48269070/
G800W268018EU,Amphenol Communications Solutions,2,PIN HEADER 2.54MM PITCH STR,https://www.marutsu.co.jp/pc/i/42970067/
RC0603FR-071KL,Yageo,10,RES 1K OHM 1% 1/10W 0603,https://www.marutsu.co.jp/pc/i/15356078/
LTST-C190GKT,Lite-on,10,LED GREEN CLEAR CHIP SMD,https://www.marutsu.co.jp/pc/i/15149729/
8.65061E+11,WURTH ELEKTRONIK,10,CAP ALUM 10UF 20% 50V SMD,https://www.marutsu.co.jp/pc/i/15590526/
RC0603FR-073K3L,Yageo,10,RES 3.3K OHM 1% 1/10W 0603,https://www.marutsu.co.jp/pc/i/15366044/
RC0603FR-07180RL,Yageo,10,RES 180 OHM 1% 1/10W 0603,https://www.marutsu.co.jp/pc/i/15360884/
RC2512JK-07100KL,Yageo,10,RES 100K OHM 5% 1W 2512,https://www.marutsu.co.jp/pc/i/35582503/
RC0603FR-0747KL,Yageo,10,RES 47K OHM 1% 1/10W 0603,https://www.marutsu.co.jp/pc/i/15809397/
C0805C102KDRACAUTO,KEMET,10,CAP CER 0805 1NF 1000V X7R 10%,https://www.marutsu.co.jp/pc/i/29099622/
NCP1117ST33T3G,オンセミコンダクター,5,IC REG LINEAR 3.3V 1A SOT-223,https://www.marutsu.co.jp/pc/i/16339346/
6.91138E+11,WURTH ELEKTRONIK,5,TERM BLK 2POS SIDE ENTRY 5MM PCB,https://www.marutsu.co.jp/pc/i/26914146/
4N35,Lite-on,5,OPTOISO 3.55KV TRANS W/BASE 6DIP,https://www.marutsu.co.jp/pc/i/15149789/
SPZT3904T1G,オンセミコンダクター,5,TRANS  NPN  40V  0.2A  150DEG C  1.5W,https://www.marutsu.co.jp/pc/i/1815743/
